Date,time,name
1/17/2024,12:42:45,Kozhikode
1/17/2024,12:42:52,Ramanattukara
1/17/2024,12:42:59,Parappanangadi
1/17/2024,12:43:07,Valanchery
1/17/2024,14:05:59,Kozhikode
1/17/2024,14:06:27,Kozhikode
1/17/2024,14:06:36,Parappanangadi
1/17/2024,14:06:41,Ramanattukara
1/17/2024,14:06:49,Kozhikode
1/17/2024,14:06:55,Kozhikode
1/17/2024,14:09:04,Kozhikode
1/17/2024,14:09:10,Valanchery
1/17/2024,14:09:16,Ramanattukara
1/17/2024,15:31:50,
1/17/2024,15:33:11,Parappanangadi
1/17/2024,15:33:34,Parappanangadi
1/17/2024,15:33:39,Parappanangadi
1/17/2024,15:34:55,Ramanattukara
1/17/2024,15:35:00,Ramanattukara
1/17/2024,16:45:27,Ramanattukara
1/17/2024,16:45:32,Kozhikode
1/17/2024,16:45:40,Valanchery
1/17/2024,16:45:48,Parappanangadi
1/17/2024,16:45:58,Parappanangadi
1/17/2024,16:46:09,Parappanangadi
